sentence_id	sentence	sentence_domain	source	is_used	clips_count
004d1de7670e0e3d4df5d8015067ab119147ee5f06f97d23c0331aa19c334fc4	Kusan ko wacce rana ina kawo yarana wajen shakatawa.		Translators without Borders Gamayun kits	1	0
00cb528f21ca3348a00f0d9ad04ad2b008fcb1def563498b71ab1501c7f684f3	Na yi alkawarin ba zan makara ba.		Translators without Borders Gamayun kits	1	0
0257e29680e05d321c590ae0eae7d9408134c96c51c90b5b0828b390b799099a	Na san baka ji tsoro ba.		Translators without Borders Gamayun kits	1	0
0440be0e93bb763de2fa1ac8ceb8569d3ea903dc2e79b132a6b86fff1562c3be	Akwai bukatar ka sauraremu.		Translators without Borders Gamayun kits	1	0
04f02554ab527ecdc4702c13aae06211f8eb0061ef20370e885b44c133651e6a	Gabadayan dutsen na canza launi a yanayin sanyi.		Translators without Borders Gamayun kits	1	0
05f36608a8921b272a978981578cecd1a1945e5955cc5c67ea0f71a10b57da66	Kara ruwa a cikin abin shan ka.		Translators without Borders Gamayun kits	1	0
065024e2c297491a60177f31e4969d010b3bfb1f906ebc7bf294be9c4f659e6b	Dutsen nada rai tunda yana motsar da karfe.		Translators without Borders Gamayun kits	1	0
071e4b3d016fc38d3cc4a2bc8630354930d8e60e664c29e88b6038ea2a2b3393	Akwai hadarin hawan tsauni a lokacin guguwa.		Translators without Borders Gamayun kits	1	0
08d628c9f6f8fc90f6f46a730a2995b59b3a790d4a353a0b221750d4a36c406e	Yansanda ba za su taba shiga waje ba tare da takardar izini ba.		Translators without Borders Gamayun kits	1	0
0de5a9a293e84c5e466eff4cc26f0f00c5e0f21276929b6edafc919c9273c466	Na kashe fitilar na fita daga dakin.		Translators without Borders Gamayun kits	1	0
0f36f323d1a7b2cafd8427e0a83d2b093381a04dcf8a517a4a54404e8a568f13	'Yan sanda sun raba fadan.		Translators without Borders Gamayun kits	1	0
0f4d0031527ac82aa61028190f95efe93e27c8877e85348c70dafd181ad645d3	Babu komai a kasan kujerar.		Translators without Borders Gamayun kits	1	0
0f7e6131d922002b58253ee487d8c29db7660f49ee37fc230a84e940ca82bc64	Yana son karanta littafai.		Translators without Borders Gamayun kits	1	0
1063adad1c900961a450efa0592e3df58043c711b86adaf9065dc5c87771f4c0	Muryar Tijjani na bada sha'awa sosai! Ya na sawa ƙirji na ya daure!		Translators without Borders Gamayun kits	1	0
10919f7043adb96df4b84c5f64439feed0966595ead2eda8f70a28c6c6252b0c	Dauka, ko?		Translators without Borders Gamayun kits	1	0
